#     time           flux       flux_err 
  5.455965841   -10.01760     1.00460 
  5.476400201   -12.45483     1.00410 
  5.517268822   -11.01455     1.00438 
  5.537703283   -10.52846     1.00433 
  5.558137644   -14.00626     1.00068 
  5.578571905   -10.35803     1.00426 
  5.599006367   -11.79366     1.00241 
  5.619440728   -13.88788     1.00051 
  5.639874990   -12.64083     1.00081 
  5.660309452   -12.38987     1.00233 
  5.680743815   -14.69659     1.00047 
  5.701178077   -12.90839     1.00080 
  5.721612540   -12.51677     1.00088 
  5.742046903   -13.50443     1.00053 
  5.762481166   -12.64100     1.00075 
  5.782915630   -13.22887     1.00051 
  5.803349993   -14.55489     1.00022 
  5.823784357   -14.88044     1.00027 
  5.844218721   -15.17295     1.00027 
  5.864653086   -14.43737     1.00037 
  5.885087450   -14.58096     1.00042 
  5.905521815   -14.26582     1.00037 
  5.925956180   -13.65043     1.00054 
  5.946390545   -15.69612     1.00014 
  5.966825011   -14.10305     1.00044 
  5.987259276   -16.02055     1.00010 
  6.007693642   -15.01973     1.00025 
  6.028127908   -13.34544     1.00076 
  6.048562374   -13.51131     1.00069 
  6.068996741   -13.64570     1.00066 
  6.089431108   -14.26100     1.00059 
  6.109865474   -13.56216     1.00074 
  6.130299842   -13.32195     1.00070 
  6.150734209   -12.23432     1.00076 
  6.171168577   -11.37511     1.00239 
  6.191602944   -10.47701     1.00412 
  6.212037212   -12.49879     1.00082 
  6.232471680   -11.05017     1.00411 
  6.252906049    -9.39919     1.00444 
  6.273340318    -8.80505     1.00463 
  6.293774786   -11.17844     1.00418 
  6.314209155   -10.73030     1.00425 
  6.334643425    -8.95122     1.00468 
  6.355077894    -8.72469     1.00470 
  6.375512264    -6.12349     1.00516 
  6.395946534    -6.51192     1.00501 
  6.416381004    -5.54844     1.00517 
  6.436815374    -6.57516     1.00501 
  6.477684016    -5.06580     1.00524 
  6.498118487    -6.44990     1.00512 
  6.518552858    -6.06077     1.00519 
  6.538987129    -5.79355     1.00506 
  6.559421601    -5.31658     1.00511 
  6.579855973    -3.64685     1.00543 
  6.600290245    -6.39724     1.00491 
  6.620724717    -5.23726     1.00508 
  6.641159090    -4.37203     1.00524 
  6.661593362    -7.13188     1.00472 
  6.682027835    -6.77157     1.00477 
  6.702462208    -5.52891     1.00504 
  6.722896482    -5.46482     1.00500 
  6.743330955    -5.20749     1.00504 
  6.763765329    -4.13371     1.00522 
  6.784199703    -6.14121     1.00490 
  6.804634077    -6.99552     1.00472 
  6.825068451    -7.43893     1.00447 
  6.845502826    -6.17502     1.00488 
  6.865937201    -5.31564     1.00489 
  6.886371576    -6.97702     1.00452 
  6.906805951    -6.35190     1.00464 
  6.947674702    -6.20565     1.00469 
  6.968108978    -7.93741     1.00407 
  6.988543354    -6.42744     1.00457 
  7.008977830    -6.38744     1.00452 
  7.029412107    -6.87240     1.00431 
  7.049846484    -6.74636     1.00434 
  7.070280961    -7.55843     1.00419 
  7.090715238    -7.76500     1.00412 
  7.111149615    -7.26575     1.00429 
  7.131584093    -7.71991     1.00417 
  7.152018370    -6.51287     1.00439 
  7.172452748    -6.37427     1.00448 
  7.192887227    -6.71883     1.00424 
  7.213321605    -6.44602     1.00426 
  7.233755884    -5.17902     1.00450 
  7.254190362    -4.40807     1.00469 
  7.274624741    -3.28018     1.00496 
  7.295059021    -3.87484     1.00489 
  7.315493500    -1.14708     1.00563 
  7.335927880    -4.00974     1.00497 
  7.356362160    -1.73047     1.00542 
  7.376796640    -1.31768     1.00562 
  7.417665301     0.87108     1.00599 
  7.438099781     2.89123     1.00626 
  7.458534162     2.19659     1.00623 
  7.478968443     2.76605     1.00641 
  7.499402825     4.95490     1.00679 
  7.519837306     4.85923     1.00678 
  7.540271688     5.50749     1.00700 
  7.560705970     6.38210     1.00705 
  7.581140452     8.28386     1.00742 
  7.601574834     8.52776     1.00750 
  7.622009117    10.29462     1.00795 
  7.642443600    10.33007     1.00799 
  7.662877983    12.43779     1.00844 
  7.683312266    13.96780     1.00877 
  7.703746749    15.08864     1.00916 
  7.724181133    16.14891     1.00934 
  7.744615417    15.61912     1.00919 
  7.765049901    13.15703     1.00878 
  7.785484285    15.96179     1.00930 
  7.805918570    18.46122     1.00977 
  7.826353054    17.65552     1.00966 
  7.846787339    17.24824     1.00957 
  7.867221724    18.99471     1.00990 
  7.887656209    20.15667     1.01020 
  7.908090595    21.95812     1.01053 
  7.928524881    20.30276     1.01022 
  7.948959366    19.77529     1.01008 
  7.969393753    21.81539     1.01046 
  7.989828039    21.00376     1.01036 
  8.010262425    22.11608     1.01053 
  8.030696912    24.04020     1.01097 
  8.051131199    20.64147     1.01022 
  8.071565586    22.57386     1.01057 
  8.092000074    20.99378     1.01023 
  8.112434361    20.62289     1.01023 
  8.132868749    21.05116     1.01026 
  8.153303237    20.18197     1.01009 
  8.173737525    20.98560     1.01055 
  8.194171913    19.24429     1.01013 
  8.214606402    19.65244     1.01020 
  8.235040791    18.53048     1.00988 
  8.255475080    19.64899     1.00995 
  8.275909569    19.74217     1.00992 
  8.296343958    18.97518     1.00971 
  8.316778248    18.39162     1.00946 
  8.337212738    16.46517     1.00900 
  8.357647128    18.42862     1.00939 
  8.378081418    15.41101     1.00887 
  8.398515908    14.33835     1.00873 
  8.418950299    12.65064     1.00837 
  8.439384590    12.55377     1.00829 
  8.459819081    13.34819     1.00859 
  8.480253472    11.07537     1.00808 
  8.500687863    10.70741     1.00781 
  8.521122155     8.64649     1.00736 
  8.541556647     7.69815     1.00716 
  8.561990939     9.12122     1.00739 
  8.582425331     8.38202     1.00716 
  8.602859824     7.04593     1.00691 
  8.623294116     7.00825     1.00697 
  8.643728509     5.83476     1.00669 
  8.664163002     4.89123     1.00642 
  8.684597295     2.18008     1.00566 
  8.705031689     1.22674     1.00553 
  8.725466182     0.49701     1.00545 
  8.745900476     2.02874     1.00567 
  8.766334870     0.40590     1.00519 
  8.786769365    -0.38715     1.00506 
  8.807203659    -2.75159     1.00470 
  8.827638054    -3.37671     1.00446 
  8.848072549    -4.50004     1.00432 
  8.868506944    -3.40648     1.00446 
  8.888941239    -3.96853     1.00420 
  8.909375735    -3.95313     1.00421 
  8.929810130    -5.60436     1.00398 
  8.950244426    -5.26470     1.00407 
  8.970678922    -6.07961     1.00390 
  8.991113319    -5.54302     1.00384 
  9.011547615    -5.24707     1.00405 
  9.031982012    -6.94355     1.00043 
  9.052416509    -3.92379     1.00403 
  9.072850806    -5.29292     1.00215 
  9.093285203    -7.31100     1.00036 
  9.113719701    -6.78869     1.00051 
  9.134153998    -6.93770     1.00061 
  9.154588396    -9.21482     0.99997 
