#time           flux       flux_err
  289.362326702     3.20932     1.18618 
  289.382759341     6.14970     1.18636 
  289.403191880     3.95169     1.18590 
  289.423624619     4.48825     1.18605 
  289.444057258     4.42395     1.18620 
  290.138766797    -5.15555     1.18500 
  290.159199331    -6.20511     1.18489 
  290.179631965    -8.38791     1.18414 
  290.200064699    -7.75734     1.18400 
  290.220497233    -6.65487     1.18469 
  290.240929866    -5.98134     1.18452 
  290.261362600   -10.27757     1.18406 
  290.281795133    -8.82219     1.18441 
  290.302227767   -10.95857     1.18390 
  290.322660400   -10.11393     1.18408 
  290.343093033   -10.45607     1.18410 
  290.363525666   -10.01841     1.18409 
  290.383958298   -10.87266     1.18368 
  290.404391031   -14.10608     1.18371 
  290.424823563   -12.95194     1.18377 
  290.445256196   -10.47413     1.18457 
  291.426022201     6.39739     1.18459 
  291.446454927     7.46545     1.18497 
  292.141164048    13.21119     1.18745 
  292.161596570    12.77130     1.18729 
  292.182029192    11.10461     1.18710 
  292.202461914     9.16229     1.18686 
  292.222894435     9.23220     1.18682 
  292.243327057    11.57073     1.18715 
  292.263759678     7.98805     1.18673 
  292.284192400    10.97645     1.18726 
  292.304624921     7.24319     1.18659 
  292.325057542    10.49787     1.18698 
  292.345490263     7.55456     1.18671 
  292.365922784     7.07697     1.18669 
  292.386355405     6.16037     1.18650 
  292.406788125     6.89082     1.18657 
  292.427220646    10.86643     1.18725 
  292.447653266     4.41666     1.18647 
  293.121929575     1.38441     1.18616 
  293.142362192     2.44988     1.18645 
  293.162794708     1.81922     1.18650 
  293.183227425     0.17005     1.18601 
  293.203660041     1.02981     1.18628 
  293.224092557     1.50501     1.18649 
  293.244525273    -1.24949     1.18616 
  293.264957889     1.32847     1.18647 
  293.285390504    -0.14781     1.18610 
  293.305823020    -0.29047     1.18627 
  293.326255736     2.19374     1.18661 
  293.346688351     0.36696     1.18617 
  293.367120866    -1.08602     1.18584 
  293.387553582     0.98125     1.18633 
  293.407986197    -1.75786     1.18581 
  293.428418712    -0.13839     1.18628 
  294.123127456   -12.69339     1.18501 
  294.143560167   -12.11770     1.18499 
  294.163992778   -11.50954     1.18492 
  294.184425289   -12.09306     1.18489 
  294.204857900   -10.36135     1.18520 
  294.225290611    -9.78441     1.18516 
  294.245723121   -13.41797     1.18498 
  294.266155732   -11.68172     1.18513 
  294.286588442   -12.48208     1.18506 
  294.307020953   -14.58012     1.18482 
  294.327453563   -11.67505     1.18538 
  294.347886173   -12.86629     1.18513 
  294.368318783   -13.55965     1.18516 
  294.388751393   -14.30495     1.18506 
  294.409184003   -12.22620     1.18530 
  294.429616613   -10.29216     1.18538 
  295.124325181     3.08855     1.18705 
  295.144757788     6.23206     1.18760 
  295.165190294     4.89648     1.18745 
  295.185623000     6.76408     1.18766 
  295.206055605     5.44976     1.18747 
  295.226488211    11.81433     1.18856 
  295.246920717     6.29787     1.18762 
  295.267353422    10.55399     1.18823 
  295.287786028     8.41041     1.18793 
  295.308218533     8.82335     1.18794 
  295.328651238     8.66406     1.18796 
  295.349083843    11.95850     1.18841 
  295.369516348     8.61470     1.18795 
  295.389949053    10.73178     1.18825 
  295.410381658    11.93520     1.18852 
  295.430814163     9.18728     1.18814 
  299.108681035     0.72974     1.18761 
  299.129113724     2.91396     1.18798 
  299.149546213     2.91770     1.18794 
  299.169978801     2.49391     1.18788 
  299.190411390     2.85331     1.18793 
  299.210843979     4.25203     1.18818 
  299.231276567     2.71029     1.18797 
  299.251709156     3.11807     1.18793 
  299.272141744     0.66019     1.18778 
  299.292574333     2.72639     1.18789 
  299.313006921    -1.59715     1.18726 
  299.333439409    -0.25872     1.18747 
  299.353872097    -0.49325     1.18746 
  299.374304685    -1.01336     1.18759 
  299.394737173    -1.54583     1.18741 
  300.109877707     8.29737     1.18947 
  300.130310292     8.00841     1.18920 
  300.150742878     6.86049     1.18886 
  300.171175463     7.14518     1.18909 
  300.191608048     8.90642     1.18907 
  300.212040533    10.46808     1.18950 
  300.232473118     8.26402     1.18900 
  300.252905803     6.82527     1.18892 
  300.273338288     6.90407     1.18884 
  300.293770873    10.94612     1.18954 
  300.314203558    10.34766     1.18954 
  300.334636043     8.34815     1.18912 
  300.375501212     7.93513     1.18930 
  300.395933796     7.07127     1.18907 
  300.416366381     7.19116     1.18925 
  301.111074112   -10.40484     1.18676 
  301.131506694    -9.15180     1.18696 
  301.151939376    -9.35004     1.18673 
  301.172371858    -9.69805     1.18676 
  301.192804440   -10.55515     1.18661 
  301.213237122   -12.08621     1.18656 
  301.233669604   -11.70458     1.18652 
  301.254102186   -13.39440     1.18616 
  301.274534767   -12.66538     1.18647 
  301.294967349   -12.75271     1.18633 
  301.315399931   -13.28643     1.18631 
  301.335832512   -14.71113     1.18603 
  301.356265094   -11.95957     1.18645 
  301.376697675   -15.08618     1.18600 
  301.397130156   -14.44111     1.18722 
  301.417562838   -15.74823     1.18608 
  302.091837886    -0.65432     1.18844 
  302.112270565     2.37473     1.18850 
  302.132703044     3.46662     1.18873 
  302.153135623     1.86067     1.18871 
  302.173568302     3.10633     1.18879 
  302.194000781     5.07898     1.18886 
  302.214433360     3.47454     1.18883 
  302.234865839     5.67842     1.18922 
  302.255298518     6.99132     1.18955 
  302.275731097     6.57580     1.18926 
  302.296163575     8.44990     1.18973 
  302.337028833     8.10953     1.18980 
  302.357461311     5.02650     1.18904 
  302.377893990     5.77331     1.18930 
  302.418759047     5.43508     1.18915 
  303.093034104    -2.89457     1.18830 
  303.113466580    -0.63048     1.18851 
  303.133899157     1.12720     1.18882 
  303.154331833    -0.50650     1.18853 
  303.174764410     1.01505     1.18874 
  303.195196886     0.57347     1.18949 
  303.236062139    -0.27073     1.18859 
  303.256494615     2.38825     1.18906 
  303.276927291     1.13885     1.18879 
  303.297359767     0.60665     1.18856 
  303.317792344     1.13076     1.18885 
  303.338224920     2.43770     1.18896 
  303.358657496     0.33458     1.18864 
  303.379090072     2.40710     1.18893 
  303.399522647     3.27807     1.18899 
  303.419955223     3.56703     1.18912 
  304.094230100     5.69051     1.18955 
  304.135095248     5.70359     1.18940 
  304.155527823     6.28880     1.18950 
  304.175960497     6.13369     1.18933 
  304.196392971     5.64764     1.18944 
  304.216825545     7.17773     1.18951 
  304.237258119     3.47712     1.18916 
  304.278123267     1.67568     1.18889 
  304.298555841     1.05987     1.18868 
  304.318988414    -0.95386     1.18838 
  304.339420988    -2.52610     1.18819 
  304.359853562    -1.33736     1.18831 
  304.380286136     0.65156     1.18874 
  304.400718709    -0.06421     1.18849 
  305.095426089   -19.71122     1.18594 
  305.115858661   -18.99589     1.18579 
  305.136291233   -16.09411     1.18645 
  305.177156378   -15.70661     1.18635 
  305.197588850   -18.49543     1.18600 
  305.218021522   -17.02636     1.18625 
  305.238454094   -16.71125     1.18636 
  305.258886566   -15.29678     1.18647 
  305.279319238   -15.71203     1.18636 
  305.299751810   -15.47715     1.18648 
  305.320184281   -13.34157     1.18668 
  305.340616853   -12.44063     1.18683 
  305.361049525   -11.71472     1.18701 
  305.401914569    -9.18568     1.18767 
  306.096621886     3.64183     1.18956 
  306.117054557     2.07172     1.18926 
  306.137487027     3.33926     1.18948 
  306.157919598     0.93643     1.18914 
  306.178352268     2.22282     1.18932 
  306.198784739     1.90914     1.18913 
  306.219217309     0.94328     1.18925 
  306.239649979    -0.09979     1.18900 
  306.260082550    -0.09899     1.18912 
  306.280515020     0.42815     1.18914 
  306.300947590     1.13529     1.18916 
  306.321380260     3.64628     1.18953 
  306.341812731     3.19892     1.18958 
  306.362245301     2.82965     1.18950 
  306.382677871     0.67299     1.18899 
  306.403110441     0.49876     1.18899 
  307.077385139    17.83978     1.19181 
  307.097817708    17.02698     1.19168 
  307.118250277    16.57607     1.19146 
  307.138682946    17.75494     1.19227 
  307.159115415    17.86691     1.19152 
  307.179547984    17.37330     1.19149 
  307.199980653    20.04802     1.19185 
  307.220413122    18.51678     1.19168 
  307.240845691    21.34340     1.19195 
  307.261278260    20.17574     1.19179 
  307.281710829    23.56596     1.19237 
  307.302143398    18.93648     1.19192 
  307.322575967    19.71041     1.19187 
  307.343008536    22.83000     1.19236 
  307.363441105    19.75631     1.19197 
  307.383873673    19.85023     1.19232 
  307.404306242    20.39452     1.19201 
  308.078580800    -1.16117     1.18905 
  308.099013468    -3.81010     1.18860 
  308.119446036    -3.75976     1.18857 
  308.139878605    -7.00439     1.18811 
  308.160311173    -6.31290     1.18825 
  308.180743741    -5.88653     1.18845 
  308.201176309    -9.63171     1.18753 
  308.221608777    -9.98888     1.18777 
  308.242041445   -11.34554     1.18769 
  308.262474012   -12.38798     1.18740 
  308.282906480   -12.32359     1.18753 
  308.303339148   -11.92595     1.18755 
  308.323771716   -14.39922     1.18717 
  308.344204184   -18.19162     1.18643 
  308.385069420   -14.90208     1.18731 
  308.405501888   -18.02486     1.18689 
  313.064126676    -8.05742     1.18856 
  313.084559244    -5.86118     1.18894 
  313.104991811    -8.07983     1.18847 
  313.125424479    -7.27672     1.18880 
  313.145856946    -7.15630     1.18850 
  313.166289514    -4.57639     1.19030 
  313.186721981    -6.18341     1.18878 
  313.207154649    -5.34312     1.18901 
  313.227587216    -8.32788     1.18861 
  313.248019784    -6.98118     1.18847 
  313.268452351    -7.36646     1.18896 
  313.288884919    -5.95386     1.18889 
  313.309317487    -6.50732     1.18882 
  313.329750054    -4.34693     1.18894 
  313.350182622    -4.67635     1.18898 
  313.370615190    -5.08849     1.18900 
  313.391047657    -3.32468     1.18927 
  314.065322301    21.44319     1.19299 
  314.085754969    22.51472     1.19300 
  314.106187538    25.68749     1.19352 
  314.126620106    24.98336     1.19363 
  314.147052674    25.92557     1.19365 
  314.167485243    26.86698     1.19393 
  314.187917811    28.09655     1.19412 
  314.208350379    29.24011     1.19426 
  314.228782948    26.84866     1.19402 
  314.249215516    29.20089     1.19422 
  314.269647985    28.30386     1.19393 
  314.290080653    30.13109     1.19449 
  314.310513222    29.76840     1.19437 
  314.351378359    29.25265     1.19445 
  314.371810928    32.08923     1.19474 
  315.066518175    -5.40867     1.18968 
  315.086950844    -6.76470     1.18963 
  315.107383314    -7.87456     1.18932 
  315.127815883    -6.87721     1.18943 
  315.148248353   -10.80898     1.18898 
  315.168681022    -9.92244     1.18996 
  315.189113592   -13.39093     1.18846 
  315.229978731   -14.82390     1.18821 
  315.250411301   -16.69506     1.18810 
  315.270843771   -16.78000     1.18799 
  315.291276440   -19.45516     1.18728 
  315.332141580   -17.65844     1.18794 
  315.352574050   -20.87354     1.18728 
  315.373006720   -24.30921     1.18679 
  316.067714013   -16.67461     1.18796 
  316.088146484   -21.92301     1.18719 
  316.108579155   -19.62548     1.18749 
  316.129011726   -18.36541     1.18768 
  316.169876768   -18.10704     1.18780 
  316.190309439   -20.32453     1.18727 
  316.210742011   -19.21530     1.18763 
  316.231174482   -19.31829     1.18756 
  316.251607153   -17.65951     1.18748 
  316.272039724   -16.06672     1.18786 
  316.292472196   -17.68130     1.18763 
  316.312904867   -17.64394     1.18763 
  316.333337438   -16.64784     1.18786 
  316.353769910   -19.21939     1.18747 
  316.374202581   -17.26818     1.18780 
  317.048477260    -7.95834     1.18956 
  317.068909932    -5.66134     1.18988 
  317.089342505    -3.58393     1.19036 
  317.109774978    -3.89566     1.19008 
  317.130207651    -2.31523     1.19043 
  317.150640224     0.52100     1.19083 
  317.171072697    -3.44216     1.19015 
  317.191505370     1.65602     1.19110 
  317.211937943     1.63050     1.19106 
  317.232370416     1.82919     1.19117 
  317.252802989     2.96964     1.19123 
  317.273235662     4.60680     1.19136 
  317.293668235     4.92022     1.19138 
  317.334533382     7.14652     1.19193 
  317.354965955     7.35828     1.19183 
  317.375398428    11.10327     1.19234 
  318.049673274    27.06113     1.19465 
  318.070105948    30.68944     1.19645 
  318.090538523    28.84327     1.19494 
  318.110970998    27.56994     1.19639 
  318.131403573    24.80166     1.19456 
  318.151836248    23.56329     1.19418 
  318.172268823    23.79898     1.19452 
  318.192701299    22.89217     1.19428 
  318.213133974    23.55066     1.19446 
  318.233566549    21.00455     1.19412 
  318.253999024    18.91273     1.19382 
  318.274431700    15.92753     1.19347 
  318.294864275    16.85764     1.19363 
  318.315296750    17.26276     1.19370 
  318.335729326    14.84702     1.19323 
  318.356162001    13.90775     1.19291 
  319.050869500   -23.51002     1.18815 
  319.071301977   -28.19011     1.18732 
  319.091734654   -26.77377     1.18768 
  319.112167232   -25.99761     1.18771 
  319.132599709   -25.93793     1.18766 
  319.153032287   -29.28493     1.18738 
  319.173464964   -28.91691     1.18752 
  319.193897442   -27.83347     1.18761 
  319.214330020   -26.55472     1.18773 
  319.234762697   -27.23020     1.18762 
  319.255195175   -26.63663     1.18773 
  319.275627753   -25.37016     1.18798 
  319.296060431   -28.03260     1.18762 
  319.316492909   -27.43165     1.18785 
  319.336925487   -24.54784     1.18819 
  319.357358065   -26.14694     1.18789 
  320.052065754   -19.08571     1.18925 
  320.072498234   -20.86358     1.18863 
  320.092930814   -21.73064     1.18863 
  320.113363494   -18.73299     1.18891 
  320.133795974   -22.49773     1.18847 
  320.154228555   -22.83596     1.18903 
  320.174661235   -17.59565     1.18912 
  320.195093816   -20.14505     1.18882 
  320.215526296   -20.39951     1.18895 
  320.235958877   -18.33570     1.18913 
  320.256391557   -19.28929     1.18901 
  320.317689300   -19.02248     1.18931 
  320.338121781   -18.18718     1.18936 
  320.358554362   -19.45961     1.18928 
  321.053262152    18.18326     1.19433 
  321.073694735    20.29625     1.19480 
  321.094127218    20.83512     1.19497 
  321.114559802    23.82530     1.19544 
  321.134992485    22.46117     1.19497 
  321.155424968    26.76612     1.19574 
  321.175857552    24.64024     1.19537 
  321.196290236    24.69183     1.19568 
  321.216722719    27.22967     1.19635 
  321.237155303    30.10245     1.19763 
  321.257587987    29.61765     1.19623 
  321.278020471    27.94909     1.19607 
  321.298453055    29.12743     1.19677 
  321.318885739    28.29079     1.19592 
  321.359750807    33.65712     1.19791 
  324.036422475   -11.86511     1.18730 
  324.056855069   -13.08170     1.18712 
  324.077287764   -11.25331     1.18732 
  324.097720258   -11.05142     1.18733 
  324.118152853    -9.39149     1.18824 
  324.138585548    -7.24879     1.18783 
  324.159018142    -5.15102     1.18836 
  324.179450637    -8.30093     1.18831 
  324.220315927    -1.55668     1.18912 
  324.240748422    -1.75830     1.18896 
  324.261181118    -1.45360     1.18885 
  324.281613713     2.46482     1.18958 
  324.302046208     5.73196     1.18999 
  324.322478804     4.36916     1.18945 
  324.342911500     9.58057     1.19071 
  325.037619703    38.07831     1.19769 
  325.058052202    40.13135     1.19770 
  325.098917500    35.54972     1.19732 
  325.119349999    36.84092     1.19718 
  325.139782698    36.25589     1.19729 
  325.160215297    34.72082     1.19711 
  325.180647797    33.04238     1.19670 
  325.201080496    33.69359     1.19691 
  325.221513096    32.69250     1.19713 
  325.241945595    30.24475     1.19619 
  325.262378195    30.90930     1.19655 
  325.282810895    29.90563     1.19660 
  325.303243495    27.27992     1.19632 
  325.323675995    27.90693     1.19658 
  325.344108695    25.74441     1.19623 
  326.038817055   -14.57069     1.19017 
  326.059249558   -16.82091     1.18964 
  326.079682262   -17.00048     1.19000 
  326.100114866   -19.10181     1.18952 
  326.120547369   -19.57541     1.18961 
  326.140980073   -18.57770     1.19001 
  326.161412677   -18.97241     1.19030 
  326.181845281   -19.03689     1.18995 
  326.202277785   -22.20245     1.18943 
  326.222710490   -19.01190     1.18986 
  326.243143094   -21.62178     1.18938 
  326.263575599   -24.54970     1.18910 
  326.284008303   -23.49641     1.18906 
  326.304440908   -22.80732     1.18929 
  326.324873413   -24.88482     1.18903 
  326.345306118   -24.44093     1.18903 
  327.019582037   -35.14443     1.18789 
  327.040014645   -35.70154     1.18795 
  327.060447253   -37.81061     1.18765 
