#time           flux       flux_err
  268.868307116   -23.70444     1.18031 
  268.888739943   -22.19125     1.18008 
  268.909172870   -25.31021     1.17992 
  268.929605596   -23.23227     1.18012 
  268.950038422   -25.21238     1.18016 
  268.970471348   -26.86378     1.17987 
  268.990904074   -27.31914     1.17981 
  269.011336899   -28.89263     1.17918 
  269.031769625   -26.25224     1.17990 
  269.052202550   -25.44949     1.18003 
  269.072635374   -28.21901     1.17970 
  269.093068199   -28.32423     1.17959 
  269.113501023   -28.04576     1.17958 
  269.133933847   -28.88703     1.17969 
  269.154366671   -26.85391     1.17968 
  269.174799395   -27.76739     1.17980 
  269.195232318   -30.99076     1.17928 
  269.215665141   -29.19991     1.17941 
  269.236097864   -29.15980     1.17989 
  269.276963609   -28.93096     1.17953 
  269.297396331   -28.37430     1.17957 
  269.317829253   -27.77913     1.17975 
  269.338262075   -29.00033     1.17952 
  269.358694896   -29.07549     1.17961 
  269.379127618   -27.28276     1.17973 
  269.399560539   -25.95305     1.17996 
  269.419993359   -28.39413     1.17963 
  269.440426080   -24.79731     1.18019 
  269.481291720   -22.42916     1.18047 
  269.501724540   -22.45522     1.18024 
  269.522157360   -22.40417     1.18026 
  269.542590279   -24.21565     1.18026 
  269.563022998   -23.39369     1.18032 
  269.583455817   -21.57944     1.18053 
  269.603888636   -22.75778     1.18016 
  269.624321454   -19.86944     1.18083 
  269.665186991   -17.81284     1.18118 
  269.685619908   -16.52306     1.18109 
  269.706052726   -15.07248     1.18135 
  269.726485443   -16.26558     1.18131 
  269.746918360   -13.18558     1.18180 
  269.767351177   -13.71698     1.18161 
  269.787783894   -12.05500     1.18198 
  269.808216810   -11.01958     1.18190 
  269.828649626    -9.99244     1.18193 
  269.849082342    -6.11706     1.18262 
  269.869515158    -3.38702     1.18286 
  269.889948073    -3.71903     1.18313 
  269.910380889    -0.71977     1.18334 
  269.930813604    -1.92488     1.18321 
  269.951246518     0.37140     1.18358 
  269.971679333     3.70551     1.18391 
  269.992112047     2.88114     1.18368 
  270.012544861     5.62479     1.18434 
  270.032977775     7.50200     1.18469 
  270.053410489     8.52888     1.18482 
  270.073843302    10.07471     1.18521 
  270.094276215    11.83559     1.18523 
  270.114708928    12.52050     1.18543 
  270.135141741    15.39933     1.18591 
  270.155574553    17.80145     1.18605 
  270.176007365    19.31909     1.18655 
  270.196440177    17.82929     1.18626 
  270.216872989    20.50659     1.18655 
  270.237305901    19.20623     1.18650 
  270.257738612    19.64842     1.18659 
  270.278171423    23.09174     1.18689 
  270.298604334    22.32768     1.18706 
  270.319037044    23.07493     1.18705 
  270.339469855    23.89690     1.18725 
  270.359902565    27.36308     1.18758 
  270.421201094    27.07847     1.18761 
  270.441633903    27.09777     1.18752 
  270.462066712    28.13408     1.18786 
  270.482499521    30.77865     1.18824 
  270.502932230    28.76776     1.18781 
  270.523365138    29.86934     1.18822 
  270.543797946    30.21140     1.18799 
  270.564230654    30.68491     1.18810 
  270.584663562    31.12764     1.18816 
  270.605096369    27.45095     1.18776 
  270.625529076    30.18783     1.18821 
  270.645961983    30.83112     1.18822 
  270.666394690    31.23214     1.18815 
  270.686827496    31.22138     1.18820 
  270.707260303    31.80357     1.18834 
  270.727693109    31.27305     1.18805 
  270.748125915    31.77190     1.18852 
  270.768558720    30.89533     1.18816 
  270.788991625    28.77906     1.18801 
  270.809424331    29.38499     1.18810 
  270.829857136    31.67496     1.18840 
  270.850289840    29.21601     1.18810 
  270.870722745    30.00257     1.18817 
  270.891155549    29.05281     1.18798 
  270.911588253    30.72270     1.18822 
  270.932021157    29.27542     1.18803 
  270.952453960    31.16428     1.18826 
  270.972886764    32.18137     1.18840 
  270.993319467    27.94606     1.18747 
  271.013752370    28.48467     1.18793 
  271.034185172    28.68354     1.18805 
  271.054617875    29.01003     1.18830 
  271.075050777    27.97959     1.18792 
  271.095483579    27.29326     1.18769 
  271.115916280    26.38022     1.18769 
  271.136349182    25.72884     1.18757 
  271.156781983    27.06469     1.18777 
  271.177214684    24.73114     1.18722 
  271.197647485    23.86924     1.18722 
  271.218080386    22.61050     1.18695 
  271.238513086    22.70300     1.18723 
  271.258945886    22.04237     1.18703 
  271.279378786    20.08698     1.18680 
  271.299811586    20.91872     1.18670 
  271.340677085    19.80309     1.18689 
  271.361109984    16.93431     1.18641 
  271.381542683    18.00743     1.18649 
  271.401975481    13.25086     1.18598 
  271.422408379    10.80951     1.18535 
  271.442841078    11.30000     1.18562 
  271.463273876    10.52989     1.18584 
  271.483706673     9.79215     1.18544 
  271.504139471     7.07110     1.18513 
  271.565437862     3.62724     1.18453 
  271.585870658     3.78617     1.18468 
  271.606303455     3.77372     1.18453 
  271.626736251     2.98645     1.18445 
  271.647169047     1.56495     1.18432 
  271.667601842    -0.11064     1.18392 
  271.688034538    -1.68208     1.18398 
  271.708467433    -3.21261     1.18377 
  271.728900128    -5.71204     1.18338 
  271.749332923    -6.55926     1.18322 
  271.769765817    -5.75731     1.18337 
  271.790198612    -7.20833     1.18319 
  271.810631306    -9.78255     1.18279 
  271.831064100    -8.11149     1.18292 
  271.851496993    -8.98202     1.18279 
  271.871929687   -10.06039     1.18267 
  271.892362480   -10.82890     1.18252 
  271.912795373   -11.91252     1.18247 
  271.933228066   -10.52180     1.18255 
  271.953660858   -11.95886     1.18248 
  271.974093751   -10.29616     1.18259 
  271.994526443   -14.29294     1.18242 
  272.014959235   -12.99187     1.18220 
  272.035392026   -14.34888     1.18229 
  272.055824818   -15.96088     1.18189 
  272.076257609   -18.09673     1.18150 
  272.096690400   -15.75748     1.18194 
  272.117123291   -17.07768     1.18168 
  272.137555981   -17.89421     1.18148 
  272.157988772   -17.48866     1.18165 
  272.178421462   -17.42240     1.18156 
  272.198854352   -18.11282     1.18131 
  272.219287141   -18.39965     1.18137 
  272.239719831   -21.17789     1.18085 
  272.260152720   -19.63953     1.18126 
  272.280585509   -21.11688     1.18116 
  272.301018298   -21.34278     1.18110 
  272.321450986   -21.55499     1.18103 
